iter	Passed	Remaining
463	789	911
464	791	910
465	792	908
466	794	907
467	797	906
468	798	904
469	800	902
470	802	900
471	803	899
472	805	897
473	806	894
474	807	892
475	809	890
476	810	888
477	812	887
478	813	885
479	815	883
480	816	881
481	818	879
482	819	877
483	821	875
484	822	873
485	824	871
486	825	870
487	827	868
488	829	866
489	830	864
490	832	862
491	833	860
492	835	859
493	836	857
494	838	855
495	839	853
496	841	851
497	842	849
498	844	847
499	845	845
500	847	844
501	849	842
502	850	840
503	852	838
504	853	836
505	855	834
506	856	833
507	857	830
508	860	829
509	861	828
510	863	826
511	864	824
512	866	822
513	868	820
514	869	818
515	871	817
516	872	815
517	874	813
518	875	811
519	877	809
520	879	808
521	880	806
522	882	804
523	883	802
524	884	800
525	886	798
526	887	796
527	889	794
528	891	793
529	892	791
530	894	790
531	896	788
532	898	787
533	899	785
534	901	783
535	902	781
536	904	779
537	905	777
538	907	775
539	908	774
540	910	772
541	912	770
542	913	768
543	915	767
544	916	765
545	918	763
546	920	761
547	921	760
548	923	758
549	924	756
550	926	755
551	928	753
552	929	751
553	931	749
554	933	748
555	934	746
556	936	744
557	937	742
558	939	740
559	940	738
560	941	737
561	943	735
562	945	733
563	946	731
564	948	729
565	949	728
566	951	726
567	952	724
568	953	722
569	955	720
570	957	719
571	958	717
572	960	715
573	961	713
574	963	711
575	964	710
576	966	708
577	967	706
578	969	704
579	970	702
580	972	701
581	973	699
582	975	697
583	977	696
584	978	694
585	980	692
586	982	690
587	983	689
588	985	687
589	986	685
590	988	684
591	990	682
592	991	680
593	993	678
594	994	677
595	996	675
596	997	673
597	999	671
598	1000	669
599	1001	667
600	1003	666
601	1004	664
602	1006	662
603	1007	660
604	1009	658
605	1010	657
606	1012	655
607	1014	653
608	1015	652
609	1016	650
610	1018	648
611	1020	646
612	1021	645
613	1023	643
614	1024	641
615	1026	639
616	1027	637
617	1029	636
618	1030	634
619	1032	632
620	1033	630
621	1035	629
622	1036	627
623	1038	625
624	1039	623
625	1041	622
626	1043	620
627	1045	619
628	1047	617
629	1048	615
630	1049	613
631	1051	612
632	1052	610
633	1054	609
634	1056	607
635	1057	605
636	1059	603
637	1060	601
638	1062	600
639	1064	598
640	1065	596
641	1066	594
642	1068	593
643	1069	591
644	1071	589
645	1072	587
646	1074	586
647	1076	584
648	1077	582
649	1079	581
650	1081	579
651	1082	577
652	1083	575
653	1085	574
654	1086	572
655	1088	570
656	1090	569
657	1092	567
658	1093	565
659	1094	564
660	1096	562
661	1097	560
662	1099	558
663	1100	556
664	1102	555
665	1103	553
666	1105	551
667	1107	550
668	1108	548
669	1110	546
670	1111	545
671	1113	543
672	1114	541
673	1116	539
674	1117	538
675	1119	536
676	1121	534
677	1122	533
678	1124	531
679	1125	529
680	1127	527
681	1128	526
682	1130	524
683	1131	522
684	1133	521
685	1134	519
686	1136	517
687	1137	515
688	1139	514
689	1140	512
690	1142	510
691	1143	509
692	1145	507
693	1146	505
694	1148	503
695	1149	502
696	1151	500
697	1152	498
698	1154	497
699	1155	495
700	1157	493
701	1159	492
702	1160	490
703	1162	488
704	1163	486
705	1165	485
706	1166	483
707	1168	481
708	1169	480
709	1171	478
710	1172	476
711	1174	474
712	1175	473
713	1177	471
714	1178	469
715	1179	467
716	1181	466
717	1183	464
718	1185	463
719	1186	461
720	1188	459
721	1189	458
722	1190	456
723	1192	454
724	1194	452
725	1196	451
726	1197	449
727	1199	448
728	1200	446
729	1202	444
730	1203	443
731	1205	441
732	1206	439
733	1207	437
734	1209	435
735	1210	434
736	1212	432
737	1213	430
738	1215	429
739	1217	427
740	1218	426
741	1221	424
742	1222	422
743	1224	421
744	1225	419
745	1227	417
746	1228	416
747	1230	414
748	1231	412
749	1233	411
750	1235	409
751	1237	408
752	1238	406
753	1240	404
754	1241	402
755	1243	401
756	1244	399
757	1246	397
758	1247	396
759	1249	394
760	1251	392
761	1252	391
762	1254	389
763	1256	388
764	1257	386
765	1259	384
766	1260	382
767	1261	381
768	1263	379
769	1264	377
770	1265	375
771	1267	374
772	1268	372
773	1270	370
774	1272	369
775	1273	367
776	1275	366
777	1277	364
778	1278	362
779	1280	361
780	1281	359
