iter	RMSE
320	0.2698787373
321	0.2697323649
322	0.269678389
323	0.2695043666
324	0.2694544227
325	0.269349077
326	0.2692282202
327	0.2691536394
328	0.2690936775
329	0.2689104472
330	0.2687795129
331	0.2686855497
332	0.2686192726
333	0.2685227604
334	0.2684871076
335	0.2683699098
336	0.2683119774
337	0.2681944266
338	0.2681137728
339	0.2679342388
340	0.2678671099
341	0.2677754269
342	0.2676945577
343	0.2676086466
344	0.2674712557
345	0.2672405779
346	0.2671520081
347	0.2670590886
348	0.2669450885
349	0.26686325
350	0.2666779393
351	0.2665447545
352	0.2664243891
353	0.2663909278
354	0.2662880297
355	0.2661655592
356	0.2660472193
357	0.2659407159
358	0.2658421093
359	0.2657486501
360	0.2656670001
361	0.2655801573
362	0.2654913875
363	0.2653734929
364	0.2652496117
365	0.2651167788
366	0.2650726466
367	0.2649817338
368	0.264869422
369	0.2647664086
370	0.2646846773
371	0.2646191629
372	0.264582138
373	0.2644500544
374	0.2643428036
375	0.2642608344
376	0.2641257387
377	0.264041958
378	0.2639763954
379	0.2638660571
380	0.2637974483
381	0.2637180373
382	0.2636031314
383	0.26353224
384	0.2633947851
385	0.2632351206
386	0.2631715076
387	0.2630993175
388	0.2630137915
389	0.2629399932
390	0.262832592
391	0.2627608596
392	0.2626824504
393	0.2625802312
394	0.2625413666
395	0.2624636433
396	0.2623172585
397	0.2622716307
398	0.2621582727
399	0.262119719
400	0.2620364396
401	0.2619169067
402	0.2618755308
403	0.2617528886
404	0.2616500113
405	0.2615696914
406	0.2614771774
407	0.2614156048
408	0.2613720831
409	0.2612561437
410	0.261189539
411	0.2611066726
412	0.261049101
413	0.2609990345
414	0.2609319554
415	0.2608858624
416	0.2608337338
417	0.2607561217
418	0.2606904501
419	0.2605518168
420	0.2604536285
421	0.2603776198
422	0.2602669
423	0.2602116477
424	0.2601733773
425	0.2601256827
426	0.2600702508
427	0.2599958304
428	0.2599025237
429	0.2598475067
430	0.2596943553
431	0.2596349035
432	0.2595647541
433	0.259522
434	0.2594497654
435	0.2593803549
436	0.2593271449
437	0.2592648098
438	0.2591969968
439	0.2591544376
440	0.2590691923
441	0.2589978684
442	0.2589605108
443	0.2588898491
444	0.2588312457
445	0.2587966016
446	0.2587191862
447	0.2586555059
448	0.2586098437
449	0.2585242859
450	0.258449947
451	0.2583782263
452	0.2583003626
453	0.2582156292
454	0.2581568394
455	0.2580933757
456	0.2580304068
457	0.2579479494
458	0.2579273295
459	0.2578222222
460	0.2577072463
461	0.2576495477
462	0.25757191
463	0.2575192728
464	0.2574808485
465	0.2574115937
466	0.2573000735
467	0.2572389043
468	0.2571670839
469	0.2570592169
470	0.2569070477
471	0.2568164185
472	0.2567864119
473	0.2567427411
474	0.2567070158
475	0.2566812044
476	0.25665925
477	0.2566081249
478	0.2565027408
479	0.2564071088
480	0.256370234
481	0.2562779535
482	0.2562105029
483	0.2560375799
484	0.25595183
485	0.2558696252
486	0.2557716547
487	0.2557100202
488	0.2556745309
489	0.2556242656
490	0.2555730165
491	0.2554817701
492	0.2554135975
493	0.2553321293
494	0.2552737183
495	0.2551979473
496	0.2551106315
497	0.2549886038
498	0.2548854922
499	0.2547923308
500	0.254664969
501	0.2545703611
502	0.2544863537
503	0.2543844453
504	0.2543573824
505	0.2542853662
506	0.2542156112
507	0.254179572
508	0.2541363923
509	0.2540806204
510	0.2540199064
511	0.2539630488
512	0.2538888574
513	0.2538130973
514	0.2537668554
515	0.2537196626
516	0.2536966383
517	0.253586731
518	0.2535093596
519	0.2534058491
520	0.2533481599
521	0.2532772809
522	0.2532097561
523	0.2531505766
524	0.2530807479
525	0.2530337657
526	0.2529073665
527	0.2528624287
528	0.2527671463
529	0.2526913862
530	0.2526318083
531	0.252551219
532	0.2524626145
533	0.2523774615
534	0.2522437374
535	0.2521776653
536	0.2521181554
537	0.2520801301
538	0.252056491
539	0.2519870917
540	0.2518835394
541	0.2517953453
542	0.2517250505
543	0.2516745135
544	0.2515863072
545	0.2514806038
546	0.2514497562
547	0.251363999
548	0.2513031979
549	0.2512539113
550	0.2511959793
551	0.2510952206
552	0.2510339339
553	0.2509748207
554	0.2509026153
555	0.2508126997
556	0.2507090828
557	0.2506033087
558	0.2505250632
559	0.2504732175
560	0.2504242161
561	0.2503670186
562	0.2502621375
563	0.2501916796
564	0.250115309
565	0.2500204852
566	0.2499515731
567	0.2498641066
568	0.2497899761
569	0.2497279955
570	0.2496475609
571	0.2495791791
572	0.2494687109
573	0.2494203099
574	0.2493669883
575	0.2492893718
576	0.2492347833
577	0.2491675465
578	0.2491291849
579	0.2490383553
580	0.2489583856
581	0.2489318784
582	0.2488571663
583	0.2487431605
584	0.2486471709
585	0.248564168
586	0.2485082923
587	0.2484712787
588	0.2484161599
589	0.2483461133
590	0.2482801288
591	0.2482270335
592	0.2481876421
593	0.248123827
594	0.2480607598
595	0.2479834627
596	0.2478830681
597	0.2478241481
598	0.2477778895
599	0.2477093097
600	0.247642408
601	0.2475665339
602	0.2475227337
603	0.247472112
604	0.2474008482
605	0.2473008293
606	0.247240142
607	0.2471672147
608	0.2470844738
609	0.2470441522
610	0.2469570979
611	0.2468827772
612	0.2468367642
613	0.2467782475
614	0.2467055797
615	0.2466246219
616	0.2465856648
617	0.2465420121
618	0.2464714933
619	0.2464240646
620	0.2463434472
621	0.246319041
622	0.2462804998
623	0.2462289445
624	0.2461829633
625	0.2461151959
626	0.2460680455
627	0.2459867988
628	0.2458523681
629	0.245732749
630	0.2457130275
631	0.2456760991
632	0.2456326786
633	0.2455796866
634	0.245516802
635	0.2454719145
636	0.2454209981
637	0.2453774125
638	0.2453321187
639	0.2452998232
640	0.245261316
641	0.2451462171
642	0.2450750089
643	0.2450366126
644	0.2449484964
645	0.2448829765
646	0.2448214447
647	0.2447676921
648	0.2447348736
649	0.2446388903
650	0.2445658137
651	0.2445368294
652	0.2444734466
653	0.2444316554
654	0.2443287096
655	0.2442627325
656	0.2441891166
657	0.2441140061
658	0.2440694092
659	0.2440258675
660	0.243913261
661	0.2438804752
662	0.2438144334
663	0.2437385322
664	0.2436887696
665	0.2436518698
666	0.2435767644
667	0.2435229039
668	0.2434713723
669	0.2434159143
670	0.243355963
671	0.2432708079
672	0.2432097486
673	0.2431569381
674	0.243108016
675	0.2430093669
676	0.2429386441
677	0.242873148
678	0.242793215
679	0.2427761753
680	0.2427072585
681	0.2426556335
682	0.242599157
683	0.2425540829
684	0.2424841397
685	0.2424244927
686	0.2423663093
687	0.2422834786
688	0.2422215483
689	0.2421694984
690	0.2421103941
691	0.2420191932
692	0.2419738762
693	0.2419120195
694	0.241846531
695	0.2417492371
696	0.2416898231
697	0.2416465525
698	0.2415965067
699	0.2415894839
700	0.2415164261
701	0.2414752616
702	0.2414187382
703	0.2413469368
704	0.2412783529
705	0.2412504254
706	0.2411936035
707	0.2411427458
708	0.2410733668
709	0.2410144503
710	0.2409707158
711	0.2409323071
712	0.2408694905
713	0.2408164669
714	0.2407848666
715	0.2407341399
716	0.2406722429
717	0.2405985515
718	0.2405399601
719	0.2404846555
720	0.2404546845
721	0.2404162884
722	0.2403799868
723	0.240346575
724	0.2402928022
725	0.2402137851
726	0.2401738545
727	0.2401386917
728	0.2400953428
729	0.2400579434
730	0.2399853391
731	0.2399827078
732	0.2399138843
733	0.2398803465
734	0.2398478736
735	0.239810441
736	0.2397225499
737	0.2396327102
738	0.2395462558
739	0.2394907123
740	0.2394618341
741	0.2393927548
742	0.2393494916
743	0.2392733218
744	0.2392288389
745	0.2391659102
746	0.2390841334
747	0.2390454525
748	0.2389753286
749	0.2389166061
750	0.2388604171
751	0.2387173302
752	0.2386744675
753	0.2386112893
754	0.2385684942
755	0.2385188966
756	0.2384529312
757	0.2384091031
758	0.2383515839
759	0.238308891
760	0.238241198
761	0.2381556337
762	0.2381294759
763	0.2380815445
764	0.2380321543
765	0.2379773571
766	0.2379533899
767	0.2378819498
768	0.2378475668
769	0.2378156583
770	0.2377800204
771	0.2377507003
772	0.2376887291
773	0.237646345
774	0.2375853946
775	0.2375354395
776	0.2374717733
777	0.2374227695
778	0.2373784739
779	0.2373449939
780	0.2372971097
781	0.2372345869
782	0.2371791637
783	0.2371044137
784	0.2370475701
785	0.2370020892
786	0.2369296555
787	0.2368690882
788	0.23684382
789	0.236803119
790	0.2367839339
791	0.2367403771
792	0.2367098635
793	0.2366678416
794	0.23661187
795	0.2365579517
796	0.2365133832
797	0.2364727234
798	0.2364110412
799	0.2363592681
800	0.2363314594
801	0.2362981634
802	0.2362629598
803	0.2362420444
804	0.2361863209
805	0.236099223
806	0.2360658179
807	0.2359991525
808	0.2359233544
809	0.2358902502
810	0.2358681741
811	0.2358269476
812	0.235813021
813	0.2357837559
814	0.2357162848
815	0.2356602466
816	0.2355701366
817	0.2355304453
818	0.2354620778
819	0.2354337644
820	0.2353993234
821	0.2353518942
822	0.2353326352
823	0.2352832698
824	0.2352615778
825	0.2352344007
826	0.235171848
827	0.2351127047
828	0.2350874417
829	0.2350602224
830	0.2350475358
831	0.2349982807
832	0.2349677204
833	0.2349058671
834	0.2348819825
835	0.234835622
836	0.2347804812
837	0.2347358664
838	0.2346628408
839	0.2346000389
840	0.2345808415
841	0.234556339
842	0.2345026623
843	0.2344505083
844	0.23441093
845	0.2343570559
846	0.234296409
847	0.2342334723
848	0.234205071
849	0.2341866176
850	0.234135407
851	0.2340754301
852	0.2340334402
853	0.2340008206
854	0.2339672101
855	0.2339340939
856	0.2338883098
857	0.2338174149
858	0.2337677922
859	0.233730939
860	0.2336820769
861	0.2336522923
862	0.2335925106
863	0.2335535107
864	0.2335415977
865	0.2334818199
866	0.233440686
867	0.2334140956
868	0.2333755803
869	0.2333472574
870	0.2332845212
871	0.2332325898
872	0.2331985566
873	0.2331808784
874	0.2331050845
875	0.2330354218
876	0.2330142233
877	0.2329416709
878	0.2329009
879	0.2328611563
880	0.232826634
881	0.232767838
882	0.232735174
883	0.2326593799
884	0.2326285334
885	0.2325839155
886	0.2325272908
887	0.2325014741
888	0.2324640247
889	0.2324277589
890	0.2323781345
891	0.2323513025
892	0.2322987205
893	0.2322301808
894	0.2321789135
895	0.2321296703
896	0.2320747902
897	0.2320230526
898	0.2319702178
899	0.2319360092
900	0.23190054
901	0.2318139912
902	0.2317655725
903	0.2317219362
904	0.2316958748
905	0.2316534988
906	0.231612387
907	0.2315799634
908	0.2315463383
909	0.2314770203
910	0.2314461462
911	0.2314241945
912	0.2313929729
913	0.2313652406
914	0.2313486219
915	0.2313179555
916	0.2312881952
917	0.2312518155
918	0.2312094549
919	0.2311494953
920	0.2311173832
921	0.2310628473
922	0.2310219188
923	0.2309820199
924	0.230947216
925	0.2309028816
926	0.2308852698
927	0.2308389992
928	0.2308047804
929	0.2307920813
930	0.2307391185
931	0.2307019773
932	0.2306701121
933	0.2306326688
934	0.230555829
935	0.2305283307
936	0.2304927721
937	0.2304269801
938	0.2303840514
939	0.2303256615
940	0.2302611697
941	0.2302215229
942	0.2301811838
943	0.2301106503
944	0.2300414905
945	0.2299962146
946	0.2299654878
947	0.2299052915
948	0.2298537928
949	0.2298125244
950	0.2297622185
951	0.2297064068
952	0.2296776775
953	0.2296318329
954	0.2296110814
955	0.2295667394
956	0.2295384805
957	0.2294836522
958	0.2294350835
959	0.2293975159
960	0.2293640892
961	0.2293371664
962	0.2293097852
963	0.229276552
964	0.2292589691
965	0.229209936
966	0.2291784883
967	0.2291289676
968	0.229072877
969	0.2290239835
970	0.2289751979
971	0.2289431863
972	0.2289146109
973	0.2288829911
974	0.228849625
975	0.2287954064
976	0.2287419059
977	0.2287090855
978	0.2286610301
979	0.22858264
980	0.22854944
981	0.2284988476
982	0.228473423
983	0.2284564564
984	0.2283955851
985	0.2283526554
986	0.2283226401
987	0.2282525098
988	0.2282159251
989	0.22819925
990	0.228182136
991	0.228156141
992	0.2281242752
993	0.2280716633
994	0.228012723
995	0.2279825265
996	0.2279395448
997	0.2279092681
998	0.2278662043
999	0.2278456521
